cum_buys_sol,entry_price_sol,tokens_for_1sol,eff_cost_sol,price_after_sol,nav_sol,redeem_price_after_fees_sol,backing_pct,pool_sol,instant_roundtrip_sol,instant_pnl_pct
193,1.714646599,0.565561088,1.768155591,1.715394413,1.603893776,1.507660149,93.5,191.07,0.8526739144,-14.73260856
194,1.715394413,0.565315328,1.768924263,1.716138683,1.604589668,1.508314288,93.5,192.06,0.8526731867,-14.73268133
195,1.716138683,0.565070941,1.769689303,1.716879445,1.605282281,1.508965344,93.5,193.05,0.8526724668,-14.73275332
196,1.716879445,0.564827912,1.770450749,1.717616732,1.605971645,1.509613346,93.5,194.04,0.8526717542,-14.73282458
197,1.717616732,0.564586226,1.771208637,1.71835058,1.606657792,1.510258325,93.5,195.03,0.8526710479,-14.73289521
198,1.71835058,0.56434587,1.771962999,1.719081021,1.607340755,1.51090031,93.5,196.02,0.8526703497,-14.73296503
199,1.719081021,0.564106829,1.77271387,1.719808089,1.608020563,1.511539329,93.5,197.01,0.8526696579,-14.73303421
200,1.719808089,0.56386909,1.773461283,1.720531815,1.608697247,1.512175412,93.5,198,0.8526689735,-14.73310265
201,1.720531815,0.563632639,1.774205273,1.721252232,1.609370837,1.512808586,93.5,198.99,0.8526682959,-14.73317041
202,1.721252232,0.563397463,1.77494587,1.721969371,1.610041362,1.51343888,93.5,199.98,0.8526676253,-14.73323747
203,1.721969371,0.563163548,1.775683109,1.722683263,1.610708851,1.51406632,93.5,200.97,0.8526669605,-14.73330395
204,1.722683263,0.562930882,1.77641702,1.723393939,1.611373333,1.514690933,93.5,201.96,0.8526663027,-14.73336973
205,1.723393939,0.562699452,1.777147634,1.724101429,1.612034836,1.515312746,93.5,202.95,0.8526656516,-14.73343484
206,1.724101429,0.562469245,1.777874984,1.724805762,1.612693388,1.515931784,93.5,203.94,0.8526650063,-14.73349937
207,1.724805762,0.562240249,1.778599098,1.725506969,1.613349016,1.516548075,93.5,204.93,0.8526643673,-14.73356327
208,1.725506969,0.562012452,1.779320007,1.726205077,1.614001747,1.517161642,93.5,205.92,0.8526637348,-14.73362652
209,1.726205077,0.561785842,1.780037739,1.726900116,1.614651609,1.517772512,93.5,206.91,0.8526631087,-14.73368913
210,1.726900116,0.561560407,1.780752324,1.727592114,1.615298626,1.518380709,93.5,207.9,0.8526624887,-14.73375113
211,1.727592114,0.561336134,1.781463796,1.728281097,1.615942826,1.518986256,93.5,208.89,0.8526618727,-14.73381273
212,1.728281097,0.561113014,1.782172174,1.728967094,1.616584233,1.519589179,93.5,209.88,0.8526612643,-14.73387357
