sell_n,tokens_sold,seller_receives_sol,nav_sol,redeem_price_sol,price_frozen_sol,pool_sol
332,0.545805068,0.94,1.832666151,1.722706181,1.858050541,179.6000001
333,0.545653118,0.940000001,1.833179215,1.723188462,1.858050541,178.6500001
334,0.545500402,0.94,1.833695167,1.723673457,1.858050541,177.7000001
335,0.545346913,0.94,1.83421404,1.724161197,1.858050541,176.7500001
336,0.545192642,0.94,1.834735865,1.724651713,1.858050541,175.8000001
337,0.545037582,0.940000001,1.835260675,1.725145034,1.858050541,174.8500001
338,0.544881723,0.94,1.835788503,1.725641193,1.858050541,173.9000001
339,0.544725058,0.940000001,1.836319385,1.726140222,1.858050541,172.9500001
340,0.544567578,0.940000001,1.836853354,1.726642153,1.858050541,172.0000001
341,0.544409273,0.940000001,1.837390446,1.727147019,1.858050541,171.0500001
342,0.544250136,0.940000001,1.837930696,1.727654854,1.858050541,170.1000001
343,0.544090156,0.94,1.838474141,1.728165692,1.858050541,169.1500001
344,0.543929325,0.94,1.839020817,1.728679568,1.858050541,168.2000001
345,0.543767634,0.94,1.839570764,1.729196518,1.858050541,167.2500001
346,0.543605073,0.940000001,1.840124018,1.729716577,1.858050541,166.3000001
347,0.543441632,0.940000001,1.840680619,1.730239782,1.858050541,165.3500001
348,0.543277301,0.94,1.841240608,1.730766171,1.858050541,164.4000001
349,0.543112071,0.940000001,1.841804023,1.731295781,1.858050541,163.4500001
350,0.542945931,0.940000001,1.842370906,1.731828652,1.858050541,162.5000001
351,0.54277887,0.94,1.842941299,1.732364821,1.858050541,161.5500001
352,0.542610879,0.94,1.843515246,1.732904331,1.858050541,160.6000001
353,0.542441947,0.940000001,1.844092788,1.733447221,1.858050541,159.6500001
354,0.542272062,0.94,1.844673971,1.733993532,1.858050541,158.7000001
355,0.542101214,0.94,1.845258839,1.734543308,1.858050541,157.7500001
356,0.541929391,0.94,1.845847438,1.735096592,1.858050541,156.8000001
357,0.541756582,0.94,1.846439815,1.735653426,1.858050541,155.8500001
358,0.541582775,0.940000001,1.847036018,1.736213857,1.858050541,154.9000001
359,0.541407958,0.94,1.847636095,1.736777929,1.858050541,153.9500001
360,0.541232119,0.94,1.848240095,1.737345689,1.858050541,153.0000001
361,0.541055246,0.940000001,1.848848068,1.737917184,1.858050541,152.0500001
362,0.540877326,0.940000001,1.849460067,1.738492463,1.858050541,151.1000001
363,0.540698346,0.940000001,1.850076143,1.739071575,1.858050541,150.1500001
364,0.540518293,0.94,1.85069635,1.739654569,1.858050541,149.2000001
365,0.540337154,0.94,1.851320741,1.740241497,1.858050541,148.2500001
366,0.540154916,0.940000001,1.851949373,1.740832411,1.858050541,147.3000001
367,0.539971564,0.940000001,1.852582302,1.741427364,1.858050541,146.3500001
368,0.539787084,0.94,1.853219585,1.74202641,1.858050541,145.4000001
369,0.539601463,0.940000001,1.853861281,1.742629604,1.858050541,144.4500001
370,0.539414685,0.940000001,1.854507451,1.743237004,1.858050541,143.5000001
371,0.539226736,0.940000001,1.855158156,1.743848666,1.858050541,142.5500001
372,0.5390376,0.940000001,1.855813457,1.74446465,1.858050541,141.6000001
373,0.538847261,0.94,1.856473419,1.745085014,1.858050541,140.6500001
374,0.538655705,0.94,1.857138107,1.745709821,1.858050541,139.7000001
375,0.538462915,0.94,1.857807587,1.746339132,1.858050541,138.7500002
376,0.538268875,0.940000001,1.858481927,1.746973012,1.858050541,137.8000002
377,0.538073567,0.940000001,1.859161197,1.747611525,1.858050541,136.8500002
378,0.537876974,0.94,1.859845467,1.748254739,1.858050541,135.9000002
379,0.53767908,0.940000001,1.860534809,1.748902721,1.858050541,134.9500002
380,0.537479865,0.94,1.861229298,1.74955554,1.858050541,134.0000002
381,0.537279313,0.94,1.861929008,1.750213268,1.858050541,133.0500002
382,0.537077405,0.940000001,1.862634017,1.750875976,1.858050541,132.1000002
383,0.53687412,0.94,1.863344404,1.75154374,1.858050541,131.1500002
384,0.536669441,0.940000001,1.864060249,1.752216634,1.858050541,130.2000002
385,0.536463346,0.94,1.864781634,1.752894736,1.858050541,129.2500002
